"Шаг, с","Дальность полёта, м","Максимальная высота, м","Скорость в конечной точке, м/с"
1.0,200.09572624512268,44.36087829999001,40.27175738081242
0.1,233.39013044764903,59.451997008924714,45.888279473515006
0.01,235.46206358625875,61.087055243063425,46.238720181947734
0.001,235.7635963792606,61.250727533676546,46.29316982707428
0.0001,235.7717519181163,61.26709642536635,46.29411518800108
