"Шаг, с","Дальность полёта, м","Максимальная высота, м","Скорость в конечной точке, м/с"
1.0,149.09456082869437,32.0086297914498,33.03924221629064
0.1,166.04970064124882,49.60991177218516,33.56890932596089
0.01,168.87330967597532,51.419237573396934,33.911773174676696
0.001,169.0821364838592,51.60142761452851,33.926647893744246
0.0001,169.11224406164447,51.619659123318286,33.930555537831985
